corpus_id,origin,archive_id,source_size,source_sha256,saving_product,export_match,export_size,export_sha256
mus-f1ccdb93054e12a6,filesystem,,5167,f1ccdb93054e12a6e2b0d815046ecee2d4beaf6035b4e21b6428371e1d2b3a05,1.0.0,adjacent-exact,15960,ffc84aba8670ba609196acb432607b7a722804e994442263fd1af0372c6399c8
mus-81fa1a1247a80964,filesystem,,26507,81fa1a1247a80964b56ed0651ab5c63ae50bab7bf1c5d4b11f5974a26df1f743,1.0.0,adjacent-exact,26058,0d736034ef0c8c32d909d78c34d436415cfc783c5709946a6078b1a689d78df6
mus-be28a552a4cb5083,filesystem,,28041,be28a552a4cb50830dbffba480b60c74fd959369870e6e8d3c6563aa86c0e09b,1.0.0,adjacent-exact,27292,5a1fbdfdcd9fec724eb446a62c977e5ff53e21ca50d323296b50edea38a2c625
mus-9d03527569896a2b,filesystem,,29574,9d03527569896a2b004ff9a4193a33916121462f04f133e8d40b19d1a5ae5179,1.0.0,adjacent-exact,27476,f66a3dda46de760010ec83a88a8660691d7b900b3df6e29daefc6b89b1c9c1ed
mus-0cd95441a6595dfe,filesystem,,32646,0cd95441a6595dfe6cd2b858ecea6443fc9d3d822c7d858f50aeb6cea63b1535,1.0.0,adjacent-exact,29545,7517470246c8a70ebcbc747fb3bd910f54d866fa4a0978b06745276404e37900
mus-d93d84ba7f8e584c,filesystem,,49542,d93d84ba7f8e584cf1d2330211bc1d92f08579ce9e12d1f2e05f4fe5a2ae180f,1.0.0,adjacent-exact,37628,8623d145a736ca9e3116c020e4afc03f8aa16c428c8d02ad5e925e730a00e809
mus-f34ad0b19ef21ad8,filesystem,,5679,f34ad0b19ef21ad8df705a26039d6d2e8d6b8ac80583902865831d1e3cb862ff,1.0.0,adjacent-exact,16160,e1bfec42cdaf70705640705698e5d17e16e6893337d3bbce2b9baeeb42315733
mus-b3497b2c3ae484ee,filesystem,,12847,b3497b2c3ae484ee3b74f5544a35cf01d7ccebfb044cccb0ac8211ae98895dd7,1.0.0,adjacent-exact,20179,34822283c04a2d2b3215762b1547c3cf495a2ffa84dd734c9ce8d9b048b3e069
mus-15490739a196d230,filesystem,,16431,15490739a196d230d775bb86e1f214fed600c66e729d97ea4c56432d19d59370,1.0.0,adjacent-exact,21112,56d5116e8b445b3d7497501c6b0897b6dc13ed8df560e9cbe27403eb1cb3c814
mus-dce3758bc58e2d71,filesystem,,16943,dce3758bc58e2d715751b8d09d031bd97a00cd789b1a20fcd7f4ecb0a4662624,1.0.0,adjacent-exact,21176,64c9ba9bcf0f15758083d8fcfbddfdd7990ef1fe155fd1363de19bd133031839
mus-a74f397978af3a16,filesystem,,18991,a74f397978af3a160e1be0d4b11e984e41d0962be074cdd46a43b8dc5f35b275,1.0.0,adjacent-exact,22439,e1c8118a24485cbd893d2a2ffd3d46596441ae502394ee47f90e0146158bf36e
mus-dd8d35487348f933,filesystem,,20015,dd8d35487348f933744998e90106c659e2e0f25e6b1bd2d5a3121eae735055e6,1.0.0,adjacent-exact,22484,e7f0a5878569edb24e72bfc06c48a31be31806a21fa12d0a584277577e6202b5
mus-7cb55da89d4681a8,filesystem,,21039,7cb55da89d4681a8b7056f4e5ec2d7f05418e6a2440ac2dc17817300c15fbf3c,1.0.0,adjacent-exact,24072,359beae4860c4cb69da53557db982ec4e1fc91a15d0b6bc792ab36cf33905962
mus-74d19226e451400a,filesystem,,25135,74d19226e451400aac223c8276a91c9a765e1b0e70e6d3cdea07b9fe5618a2e2,1.0.0,adjacent-exact,25702,5e340e88f9e86e21a14a69f019453088fa10e8fef059cd708899fd5224a0435f
mus-dbed2fe22051ad2b,filesystem,,5679,dbed2fe22051ad2b3b7e46a56496de9a5b3988fae3025429851e6036d59a0279,1.0.0,adjacent-exact,16176,a5b561138855c2c1943a7ceca9e5aa4c9729555ed19464ee6c36bc9ab74e7794
mus-668c6ca2042ae924,filesystem,,6703,668c6ca2042ae92459ecae373d6c46f7e30f9710cc3b0dc60bbd5204354f5d10,1.0.0,adjacent-exact,16406,e4f9d1d56290972b341243fa5ae25a6836631487a895acde6d6b6e507ad6ed5a
mus-40f814f6d2ef3eb4,filesystem,,11823,40f814f6d2ef3eb4c5b903cf7153775d7cae88b2c758d3bf0da21efe6699ae5c,1.0.0,adjacent-exact,20477,12ede0b05d6b62733dd3156623c06a03cdac03395e9a44eff3d27603b250a051
mus-85f8a0c1f7b44dc6,filesystem,,12335,85f8a0c1f7b44dc6c01f42bdf0be0ada31995b39a60c9329d0e36f7f7b9403bc,1.0.0,adjacent-exact,21217,1d6bc2f16ef55964d0ffe2cb8d8b579c2d7beceadd80e75d1ac1bd6171df1b66
mus-1d45f77017cefe81,filesystem,,12335,1d45f77017cefe81be0cce9022fda42a113128344c6b4deb6b1b91e05c1c5f51,1.0.0,adjacent-exact,20848,b18c96a22535d1f2d427792c60ef014921311961355f6ee5f076891e936cb43d
mus-23b43548a4269976,filesystem,,14383,23b43548a42699760339ac7614e89b7cf38906fedf0fc5b76776b6da0d47c97b,1.0.0,adjacent-exact,21246,3ec5ef81fb7b4071559bcad231ac32338cbb7f442fbadbe40c8ec3fb33d1bbb6
mus-bc3052fc93f1e96e,filesystem,,12847,bc3052fc93f1e96ef0eb957b79797ce3f9ce9d18a2d9bd090ac05852cb53f266,1.0.0,adjacent-exact,20962,7a1020b80f8dd445e8adedf7bf15e20bccf2b2f00607f5b89e91b20e6845da32
mus-c3dfa97e00d8399f,filesystem,,13359,c3dfa97e00d8399fb47a1b5be2bc613a1e4d6c85417c32f4124dec3e933bb024,1.0.0,adjacent-exact,22021,c82867b29c316b4b740404a58fa1fdab22260b79750da1b9075c34931a80c792
mus-9d8588bdaf2dae93,filesystem,,9786,9d8588bdaf2dae93cc55be3264cc86fcbdd6398c0b2af9261d17a163918aec92,2.6,adjacent-exact,20464,7562fc7d182fcec173760dc945577ef5f32509f1c82ab8fd9c08421a0117f5b1
mus-f651e9fcec740230,filesystem,,158498,f651e9fcec7402308ee755c72d1216f54dcdd91b4bd1e46cfb95ddc0d3539a9f,2000,adjacent-exact,50513,1b60427c757c626f4e13f0502e031a667029c980dc7b014f0560e8791352e6b5
mus-afb4f9e75a5408f9,filesystem,,19349,afb4f9e75a5408f9f2fa6657248177e52280fa5093370e69ccccf3ede2ff2e36,2000,missing,,
mus-f08f7e76d2030d70,filesystem,,159818,f08f7e76d2030d707233bc1a24ca29c8e7bceffc3ad8043ff908ad3c8b4dc108,2000,missing,,
mus-9ce47f4111aac6e7,filesystem,,180110,9ce47f4111aac6e7db04aff814b259fd3b06303edaa3489e91ae1857096a53aa,2000,adjacent-exact,49632,5f13acf68f8ab753caf6ac444c9372d26e883e0a5b34bfd61e250ec8b524d077
mus-e48eb85807394932,filesystem,,377185,e48eb858073949320eeacf78bcaca26634daebaeee2bfca1f63581c2954393b4,2000,adjacent-exact,171442,d14771ffe65249f91caf14f9de8304d34383616f3f128ad41c71dde2b7cc125b
mus-7231f8b20dbfb243,filesystem,,164033,7231f8b20dbfb243176d1d558b7f12268632068e07a1c05a8ec112beacf0f628,2000,adjacent-exact,47930,8f5fb80369fa1cbf96e706d41235e62b010461cd4167516722b7435a06743f16
mus-3ababc73a6385321,filesystem,,161802,3ababc73a6385321bcefe0b247224b21218e24586dc82accabc6be79b2c779fd,2000,adjacent-exact,47948,3390d29c21adf367f9aa7fa58e45ea98766e442016aabeff5b12ed35bda9b64d
mus-e1a45efd17c73667,filesystem,,161018,e1a45efd17c736676cf88f1cb23de5105583bdfaa6091fc1c5198d12beb3f830,2000,adjacent-exact,47865,01fb47f108ec142b11c4ce94bf40cfe986d54f91e94108e8a3107378396f205e
mus-d4cdd794cdc3f2d8,filesystem,,169967,d4cdd794cdc3f2d8de398de329a06b775f140eba475f43be349887f45973877f,2000,adjacent-exact,50306,25395bb43d7b0259c40da8db7d2951f8bf5a70dfb5ead1f899dc4891b95b7ce2
mus-3bc63122031adf85,filesystem,,166659,3bc63122031adf854ebde7fa52f4fbbfb029217071cd6efb9b79b05b44d30a56,2000,adjacent-exact,49220,39ea44af1972b020aa5926c6c745aa5b8d3c7263199866a670e7475406abd995
