pool,field0_hex,candidate_rank,xml_tag,files_tested,both_nonzero,nonzero_exact,all_file_exact_rate,pearson,score
details,0x03ef,1,acciAlter,1440,16,12,0.9917,0.958678,2.550344
details,0x03ef,2,articAssign,1440,10,2,0.8583,0.469438,1.427771
details,0x03ef,3,stemAdjust,1440,12,4,0.9000,0.298153,1.398153
details,0x03f0,1,entrySize,1440,8,8,1.0000,1.000000,2.400000
details,0x03f0,2,perfData,1440,8,0,0.8875,0.838696,1.726196
details,0x03f0,3,tupletDef,1440,8,0,0.8708,0.496716,1.367550
details,0x03f1,1,articAssign,1440,192,161,0.9750,0.897395,2.872395
details,0x03f1,2,baselinesFingerboards,1440,187,12,0.7278,0.227809,1.555587
details,0x03f1,3,shapeNoteStyle,1440,193,50,0.3431,0.056957,1.400013
details,0x03f2,1,baselinesChords,1440,1440,1440,1.0000,1.000000,3.000000
details,0x03f2,2,baselinesExprBelowStaff,1440,1440,1430,0.9931,0.406826,2.399882
details,0x03f2,3,baselinesExprAboveStaff,1440,1440,1428,0.9917,0.000000,1.991667
details,0x03f3,1,baselinesExprAboveStaff,1440,1440,1440,1.0000,0.000000,2.000000
details,0x03f3,2,baselinesExprBelowStaff,1440,1440,1438,0.9986,0.000000,1.998611
details,0x03f3,3,baselinesChords,1440,1440,1428,0.9917,0.000000,1.991667
details,0x03f4,1,baselinesExprBelowStaff,1440,1440,1440,1.0000,1.000000,3.000000
details,0x03f4,2,baselinesChords,1440,1440,1430,0.9931,0.406826,2.399882
details,0x03f4,3,baselinesExprAboveStaff,1440,1440,1438,0.9986,0.000000,1.998611
details,0x03f5,1,baselinesFingerboards,1440,394,394,1.0000,1.000000,3.000000
details,0x03f5,2,beamAltPrimUpStem,1440,210,38,0.7444,0.393770,2.138215
details,0x03f5,3,staffGroup,1440,156,142,0.6403,0.105172,1.745450
details,0x03f6,1,baselinesExprAboveStaff,1440,1440,1440,1.0000,0.000000,2.000000
details,0x03f6,2,baselinesExprBelowStaff,1440,1440,1438,0.9986,0.000000,1.998611
details,0x03f6,3,baselinesChords,1440,1440,1428,0.9917,0.000000,1.991667
details,0x03f7,1,baselinesExprAboveStaff,1440,1440,1440,1.0000,0.000000,2.000000
details,0x03f7,2,baselinesExprBelowStaff,1440,1440,1438,0.9986,0.000000,1.998611
details,0x03f7,3,baselinesChords,1440,1440,1428,0.9917,0.000000,1.991667
details,0x03f8,1,baselinesExprAboveStaff,1440,1440,1436,0.9972,0.000000,1.997222
details,0x03f8,2,baselinesExprBelowStaff,1440,1440,1434,0.9958,-0.001968,1.993865
details,0x03f8,3,baselinesChords,1440,1440,1424,0.9889,-0.004838,1.984051
details,0x03fd,1,beamExtendDownStem,1440,4,4,1.0000,1.000000,2.200000
details,0x03fd,2,shapeNote,1440,4,4,0.1986,0.026045,0.424656
details,0x03fd,3,baselinesExprAboveStaff,1440,4,4,0.0028,0.000000,0.202778
details,0x0401,1,beamAltPrimDownStem,1440,158,144,0.9875,0.998944,2.986444
details,0x0401,2,beamAltPrimUpStem,1440,154,0,0.8403,0.822574,1.662852
details,0x0401,3,stemAdjust,1440,122,2,0.8792,0.356853,1.336020
details,0x0402,1,beamAltPrimUpStem,1440,222,192,0.9722,0.974154,2.946376
details,0x0402,2,baselinesFingerboards,1440,220,36,0.7431,0.424930,2.167985
details,0x0402,3,beamAltPrimDownStem,1440,154,0,0.8361,0.782471,1.618582
details,0x0403,1,beamAltSecDownStem,1440,4,4,1.0000,1.000000,2.200000
details,0x0403,2,beamAltSecUpStem,1440,4,0,0.9972,1.000000,1.997222
details,0x0403,3,noteAlter,1440,4,0,0.9097,0.590222,1.499945
details,0x0404,1,beamAltSecUpStem,1440,4,4,1.0000,1.000000,2.200000
details,0x0404,2,beamAltSecDownStem,1440,4,0,0.9972,1.000000,1.997222
details,0x0404,3,noteAlter,1440,4,0,0.9097,0.590222,1.499945
details,0x0406,1,centerShape,1440,142,140,0.9986,0.999832,2.998443
details,0x0406,2,smartShapeEntryMark,1440,106,16,0.6694,0.154243,1.623687
details,0x0406,3,articAssign,1440,90,10,0.8375,0.019007,1.356507
details,0x040a,1,crossChord,1440,406,0,0.7181,1.000000,1.718056
details,0x040a,2,baselinesFingerboards,1440,394,0,0.7181,0.979444,1.697499
details,0x040a,3,beamAltPrimUpStem,1440,214,6,0.7167,0.410181,1.426847
details,0x040c,1,crossStaff,1440,8,4,0.9972,0.999806,2.197028
details,0x040c,2,stemAdjust,1440,8,0,0.9056,0.680069,1.585625
details,0x040c,3,acciAlter,1440,4,0,0.9861,0.178112,1.164223
details,0x040d,1,dotOffset,1440,8,6,0.9986,0.999778,2.298389
details,0x040d,2,stemAdjust,1440,4,0,0.9028,0.593872,1.496650
details,0x040d,3,beamAltPrimUpStem,1440,4,0,0.8431,0.364747,1.207803
details,0x0410,1,staffSize,1440,46,46,1.0000,1.000000,3.000000
details,0x0410,2,articAssign,1440,14,4,0.8472,0.039924,1.087146
details,0x0410,3,shapeNoteStyle,1440,44,12,0.3181,0.070491,0.988546
details,0x0413,1,fretboard,1440,990,990,1.0000,1.000000,3.000000
details,0x0413,2,shapeNoteStyle,1440,990,0,0.3111,0.974301,1.285412
details,0x0413,3,baselinesFingerboards,1440,394,0,0.3125,0.362498,0.674998
details,0x0414,1,gfhold,1440,1440,590,0.4097,0.791173,2.200895
details,0x0414,2,baselinesExprAboveStaff,1440,1440,36,0.0250,0.000000,1.025000
details,0x0414,3,baselinesExprBelowStaff,1440,1440,36,0.0250,-0.012937,1.012063
details,0x041b,1,lyricEntryInfo,1440,10,10,1.0000,1.000000,2.500000
details,0x041b,2,baselinesSysLyricsVerse,1440,4,2,0.9736,0.242434,1.316045
details,0x041b,3,hpTechniqueName,1440,4,0,0.9833,0.241291,1.224625
details,0x041e,1,midiExprs,1440,56,2,0.9625,0.951010,2.013510
details,0x041e,2,baselinesFingerboards,1440,54,10,0.7319,0.219639,1.451584
