saving_product,files,zlib-members,non-zlib-low-entropy,non-zlib-other,zlib_members,framed_members,framed_records
1.0.0,22,0,0,22,0,0,0
2.6,1,0,0,1,0,0,0
2000,68,0,57,11,0,0,0
2001,967,0,68,899,0,0,0
2002,5399,0,5371,28,0,0,0
2003,334,0,141,193,0,0,0
2004,245,0,90,155,0,0,0
2004b,1,0,1,0,0,0,0
2005,336,0,89,247,0,0,0
2006,823,0,467,356,0,0,0
2007,468,391,0,77,1564,679,265506
2008,479,190,0,289,760,204,370233
2009,189,177,0,12,708,315,858487
2010,467,462,0,5,1848,881,1607940
3.0,64,0,0,64,0,0,0
3.2,4,0,0,4,0,0,0
3.5,8,0,0,8,0,0,0
3.7,71,0,51,20,0,0,0
3.8,11,0,11,0,0,0,0
97,41,0,38,3,0,0,0
98,56,0,39,17,0,0,0
99,4,0,0,4,0,0,0
unknown,2,0,1,1,0,0,0
