corpus_id,origin,archive_id,source_size,source_sha256,saving_product,export_match,export_size,export_sha256
mus-2771d32f77fd2bd6,filesystem,,7874,2771d32f77fd2bd6b2835298ca89ad1c9c1992f283548a06a0e9966a2052d8e6,2008,adjacent-exact,24921,b5d17166d5082cb05d9eb467b8d509aec42273bc3bc8348a425c13780b473266
mus-527671f651531470,filesystem,,35393,527671f651531470f3cf7fe20e1ca7ebadcffb1a8d3d891e0f3eb7cc8fa4d08d,2008,adjacent-exact,68568,c20ebadca8947296ecceba00b3ede7665636cf9a910f4672ae2598d96b4d74e0
mus-84761f30804afb36,filesystem,,29186,84761f30804afb36be7fe4e24e47a31d8d9f729c1f392f0b3d46eb3cf6d49a4c,2012,adjacent-exact,57670,2a835b5cff5bc0b56f3addb0ab9659945e358f66768667aa103684e1472c3b03
mus-9b5cfc22e1b406f8,filesystem,,31197,9b5cfc22e1b406f8cf495b61472228b8daea62dfd36beeef11685bd20b5cddd0,2008,adjacent-exact,61324,49dd0cf9de4035024eddd64e4e20ad558bbe2b74eae8e8c78d6f8a9108012245
mus-ae9516117be9d704,filesystem,,35955,ae9516117be9d70475c5a58a425f7da35ecac58c7fbbf454e6fa21219a7f8ce3,2008,adjacent-exact,77258,9c27956cd466a7b577aed8c673c6a721939ce194e9655ddbe880977042553aca
mus-47d876cb46d354c1,filesystem,,17888,47d876cb46d354c12fd6d90e27dec35db9273d208240465d69da293235ee89ee,2008,adjacent-exact,43219,ad2d522ecd4ef4f65938b29349ab4f0e0c3bee178de92660a0181919ec7bc32c
mus-aa6f6f34bf632ae7,filesystem,,91889,aa6f6f34bf632ae73b419d2212b436ef80383adfafc38dc3c52b4c7af27ef08d,2008,adjacent-exact,164475,131a7f04cffe032087a975324bb77ae66893be9ea9d01dd3831173bcf904ef32
mus-c62576d997c53596,filesystem,,22455,c62576d997c53596083fb86c5bf3c927745f2f9b790080b77705c88b230ded08,2008,adjacent-exact,43816,ad58d51176cb48ce51d46d24f66a4248d87db4d558cb2948389a9d93ba0a587e
mus-feff5ea292210455,filesystem,,29554,feff5ea292210455abc35d8ce909c53d9d88c326e41b8fc041e97974d64d0e79,2008,adjacent-exact,57884,f436d5f317112321056f3f95cbb4fc5f477c08abc27a406c01c916f6c92de065
mus-3f1b93460a08dd99,filesystem,,19115,3f1b93460a08dd99bf9331a5ea3c449c0c5aaa9f08e5ff6451ed4535d3f62a27,2008,adjacent-exact,42413,28057c5e1a4f558accc5085e893011933a53b3e28f5513130cd6abcbe554d112
mus-9fbb48b520822cc5,filesystem,,21667,9fbb48b520822cc5e3a8bec1f5942a8a133c76781a2aed1dcc81cb3398c846f8,2008,adjacent-exact,41231,5c8d4172bccd97d16920e6ccb14d69ffb5a661f04acae539a83fe200fb971c3d
mus-a22f93a76fd5cd17,filesystem,,20182,a22f93a76fd5cd178602c328deb67203dc847cb76f2ed07bc7a347932b547aac,2008,adjacent-exact,41290,46248dbe53c202e0528bc04ec4ddc36565510e4c50f03c055396bc96a7db26d0
mus-0943136b60b4b2c6,filesystem,,20657,0943136b60b4b2c6b168b719f56f57e1ff0652a49f745c376fcd4e97ec6c1424,2008,adjacent-exact,44937,61d69519fd92c299b160ccd285143404b650419d5d87dd9e47c0699b0c9bbce3
mus-67597da759399617,filesystem,,14714,67597da759399617c64c608cfcd7e831711d31cc6fe8024ecb1c2366071ac8b9,2008,adjacent-exact,35947,7614ecf745a511e1abf8f20e53f58c6ea3fb437cca9ebbefebbc12c91f6c6aa0
mus-dc78f89047ae3213,filesystem,,91103,dc78f89047ae3213cc817772e171c4e404f576e0a55ce9dd1c971417140a980b,2008,adjacent-exact,163122,f12c3e4b23e50b81077999617237dff709db933af29f4f066edb40e230ca0cbe
mus-3ee93edd4a0bf8f3,filesystem,,81277,3ee93edd4a0bf8f3c81475e964fcf4bee3d7271d1b276ff33abba5cd591bdb09,2008,adjacent-exact,141626,20b1e28f1238d9dc171e157a354b68517561c85d8722fb1c9d8eda4b810ff588
mus-5bb7a7a84303da01,filesystem,,42323,5bb7a7a84303da0138e81279b0f308cb165442c062e404b1a914a8babf6d7fbf,2008,adjacent-exact,81479,b27574b75f11202569a7fa2952233566bed1dd849302acee4a75bc426932e2f3
mus-2771d32f77fd2bd6,filesystem,,7874,2771d32f77fd2bd6b2835298ca89ad1c9c1992f283548a06a0e9966a2052d8e6,2008,adjacent-exact,24921,c0e416c6273e5b256c3a6605c7bdcd9869eafc4ad5eabc9b5c0fd4e7772bb50a
mus-8589af3cf400adf6,filesystem,,78422,8589af3cf400adf6f96ab0fbd2f21428426578546b43685ec826629a6f3ed355,2012,adjacent-exact,138368,63d8479bd1ea89a83b2e9eecb5c0408403b8e199e2d6d081d2722eb9cfa7f658
mus-f2f5f5a19da579f0,filesystem,,89595,f2f5f5a19da579f0830dda70f328dacdd456a7d9bf9644cef7c61a4aa3814a25,2012,adjacent-exact,160586,8cdd6a54af565e6a69112d9ef1ddb5d7c35b662757722d02232191c20262407d
mus-2d2c2a7a5e3d20ac,filesystem,,78127,2d2c2a7a5e3d20ac4d578994bf0b433a32505b47283d96289ddf9fffa270f060,2012,adjacent-exact,137603,069bb47fcec3bb0376a58c9c6c326b1d92344680527d7c244693144cea33bcf5
mus-194f1a2bb435d091,filesystem,,78513,194f1a2bb435d091f9dfb2a4a4dae287255e1c354a95c605feda6a40fc6a763d,2012,adjacent-exact,138520,19f8c82f1dc288c6fd174483d0d4958dff46b1c8e6a08243e988a1be097d8f51
mus-65aa1de01997b781,filesystem,,92119,65aa1de01997b781861189cb889b08444d8f90bbad03e9bec0e7d97979b551a8,2008,adjacent-exact,164914,10509f5502c5d6b42f67d09d26b168ad0dc29874416d8f17a4de0428db4cadfa
mus-f2f5f5a19da579f0,filesystem,,89595,f2f5f5a19da579f0830dda70f328dacdd456a7d9bf9644cef7c61a4aa3814a25,2012,adjacent-exact,160592,1c56f16d196ac450ce8fa4345cebebc4be0cee916b0a893af3e4bc7a34b967db
mus-2d2c2a7a5e3d20ac,filesystem,,78127,2d2c2a7a5e3d20ac4d578994bf0b433a32505b47283d96289ddf9fffa270f060,2012,adjacent-exact,137602,7f72e0fc9437120257592db8ee97780073e2919901c05f67b4c6ea7d63a060c3
mus-5d8b3820abbb676b,filesystem,,172491,5d8b3820abbb676b080e70d50082a53447894d602ad4878fd476d56861ae4889,2007,adjacent-exact,269341,59a97352a4e5cee74f285ffa28e0316bfb11dcdbc80f0fa729af3ba2f3ef54df
mus-baa69cec632f4b4f,filesystem,,191832,baa69cec632f4b4fe0e6f570b437f0d8b76fb2c2866b2ed046014c967a051b7b,2007,adjacent-exact,312442,594bbe23e13a375b642a9e59ea212908d494b0b1d1f411e87426d2fb0d03ae17
mus-42965bd09bb15138,filesystem,,14728,42965bd09bb15138e51f0db8f31db95aff506f0c17dddc667d42191bbb02e65c,2008,adjacent-exact,36368,6807d202f3aa85449d8286aa9d3cd5ddf8f9c1161bfb9d3d5fb2331582afcf30
mus-4963f44a09513dda,filesystem,,7871,4963f44a09513dda3174388f28283abb28b2e5ab56a5d06262e2d1f16eb38703,2008,adjacent-exact,24946,fec395ff2be66a97fc1b545db2a96f4466e65246e0be6acfa409968aea5e4caa
mus-559cbb2d3a3ca516,filesystem,,274128,559cbb2d3a3ca516c0f7c337abec0b867ddd8bd937f93364433d6c1e38459088,2012,adjacent-exact,492235,a0ddfb24b2a8b3ba779755f72a89be8a4f934fe6836d619ddbb1c98496e368bc
mus-4175d4767cfbc6a9,filesystem,,17528,4175d4767cfbc6a9fa8dc69913ed0f49652de7e62f291f8f91f1db5ec1083c07,2008,adjacent-exact,42954,5f1ea12fc0ea383a68d5c3e3120f87bb153ef5bd52815369ae8224d4445bd2f0
mus-d1d9d8f7cc69f0e9,filesystem,,14809,d1d9d8f7cc69f0e940dc7e408766b4af7b83825aedddee9300b3b92fa20461d3,2008,adjacent-exact,38150,e126a45acfad1ff5208b45ca8f146f98e7e63a79be9ea22b9e081bd5fa0fd3a0
mus-564f62c7979b0316,filesystem,,43286,564f62c7979b031642211402a78f5781bd7a2cbc387b276a900f1dd0243c4aea,2003,adjacent-exact,71237,aeb0bff1b7711f908e0fce68143f6e290b768dd8055f02bef5c181b923000a8a
mus-1d68a16b093f974b,filesystem,,68885,1d68a16b093f974b5b374079f8e84d7944b0f5f77d8ee30d56d4c803b1196adc,2006,adjacent-exact,105718,3e6d9afcf3790a08cab4d8b4d65e4936634e8836a9bc3307bc34dd66dfa2da61
mus-b92b0148be8cb36e,filesystem,,78077,b92b0148be8cb36e390d6bb2a41cf1954725db1a50d7a7f1b69fa85fc5bff25a,2006,adjacent-exact,119878,59dfdf3bf70881a2fb3a48a84195bbc4d8d2f7f9310ade958b3cced746fb54b5
mus-20c1184f926148f4,filesystem,,24930,20c1184f926148f4057e71a7f7222ef30ce9c17bf1c609a30b782e7c4e6611b6,2006,adjacent-exact,47183,758bd982bd1d16546cf1c406f26f709e40db806793cb85a22ddcf9b0eaf1516b
mus-59b7c80a0503437f,filesystem,,56168,59b7c80a0503437fa269a327f9a0aca7dd4a52de37b6f4db5582b71c8d14fdd9,2006,adjacent-exact,88908,cd02dc476ab09d4e790f87af673854d856bb8f0ee429c50c1b0fe065dd3bd43b
mus-c76a49cf14cfebe1,filesystem,,36182,c76a49cf14cfebe1b134721135dfa84db4ade4a54d76d3a09cda8821d0859147,2012,adjacent-exact,70113,cf37ab38ff65b061170567e46585a5df4dbb08ca2ead4ee738fc989ca173827c
