saving_product,files,zlib-members,non-zlib-low-entropy,non-zlib-other,zlib_members,framed_members,framed_records
1.2.6,2,0,0,2,0,0,0
1.8.7,22,0,0,22,0,0,0
2.0.1,42,0,0,42,0,0,0
2.6,205,0,0,205,0,0,0
2000,536,0,521,15,0,0,0
2001,25,0,23,2,0,0,0
2002,205,0,193,12,0,0,0
2003,515,0,513,2,0,0,0
2004,43,0,43,0,0,0,0
2004b,58,0,28,30,0,0,0
2005,338,0,320,18,0,0,0
2006,129,4,122,3,16,1,682
2007,353,353,0,0,1412,361,1783239
2008,300,298,0,2,1192,448,888642
2009,22,22,0,0,88,44,27404
2010,11,4,0,7,16,8,16731
2012,708,708,0,0,2832,989,2572025
3.0,39,0,35,4,0,0,0
3.2,56,0,55,1,0,0,0
3.5,36,2,30,4,2,0,0
3.7,72,4,67,1,4,0,0
97,259,0,247,12,0,0,0
unknown,5,0,0,5,0,0,0
