corpus_id,origin,archive_id,source_size,source_sha256,saving_product,export_match,export_size,export_sha256
mus-0784b6287c2787e0,filesystem,,4655,0784b6287c2787e05badae58fe69a9747215a7fe4e77183827a50fe31b7e353f,1.0.0,adjacent-exact,15663,d4458e90b6e3bf777cf9917a959a3a9e5514f80982e3a01a0956ec69e18077aa
mus-9b6605da70594915,filesystem,,4143,9b6605da705949155d2690bc51680576b87872272406077fb59160fb599f00b9,1.0.0,adjacent-exact,15652,6959f93e59d4d80013bb6a7a5317abe84ef649a19756ea96482dadcecb0d7a21
mus-ebb80a01a64bc496,filesystem,,4655,ebb80a01a64bc49613b97013352aa358c349651c390840d5075e08b9efc6a87c,1.0.0,adjacent-exact,15655,f4e71a5c6e58e5083b7c244185947630a48c318f1d832a689c28c8d249e75889
mus-81fa267ff63185f9,filesystem,,4655,81fa267ff63185f99d4e219635e943b099adad356403c48e5d2f729c8c8b8e45,1.0.0,adjacent-exact,15672,3bf841e56291c29d117b2ff9e62c5be6fa53bc164fb647379feff6e4fe994a08
mus-56cbf72c98e53573,filesystem,,4655,56cbf72c98e535732319fdb4bcfa73ebabd48eea6933df924ec5a9a4b79da641,1.0.0,adjacent-exact,15652,07cead285425374ce427b522141fe6343fb5010556da1029722c7170ccb40845
mus-3b58d72d36269aea,filesystem,,4655,3b58d72d36269aea486fccfa71c3e948cfeb71bb4b4f55e0a8c388bfc5f12e21,1.0.0,adjacent-exact,15677,81222b9cdcc475d3ffe604e474057a66e0c11ae332dfeb0006839bd3bf5745d2
mus-9991a6d271b21dc0,filesystem,,5167,9991a6d271b21dc000c63628458f813379c928d3b149e7c868a6b18c000cb226,1.0.0,adjacent-exact,15659,07525d6a7f995387da2ddd2f63be728bd54e31119e44c91e077878b5e9c89d03
mus-b964276c56ac4596,filesystem,,4655,b964276c56ac45968b42b9eae5ee211929323b8b69b06b9cb6111a3427557fc4,1.0.0,adjacent-exact,15663,79a2823bdce1966a3a138fe1c537f4cb1f20f4e65f0faa09a57cd67a0869f296
mus-9ad0bdec25aeb465,filesystem,,4655,9ad0bdec25aeb465599eedf52207ec51534a5637c4b110aba21e70a261181a19,1.0.0,adjacent-exact,15679,4382a5c9572ef3a7e37f16865c57ef72a1c526bb1f8baa1fae71d4e0ee6de212
mus-012c07efcaadf2d1,filesystem,,4655,012c07efcaadf2d17f31a9b4ce6ffe632c2edd34bc894d698a46f37c47994618,1.0.0,adjacent-exact,15671,ffb38ece4633997efe5d6110d6c7bd6ef9f9b8c26e6b0fe652e461486c420f9f
mus-931417967ea03e94,filesystem,,4655,931417967ea03e945f532e4157fb6ed210aa3989e6848d9b3c17ad10b67edadc,1.0.0,adjacent-exact,15633,8e15b923c3ddd6d61372073e9506f20e9998a39dbd72c37ead15e4a0fb5334f1
mus-2db9873abe61b876,filesystem,,4655,2db9873abe61b876e2640e28bc8007b08bff5545a4c4777608e68e52f27d0c7d,1.0.0,adjacent-exact,15656,d99f22df32be61834d46e37b3ccb4888ce7da3a865c02605e693bf2cde6e83e9
mus-19ced7ea65905d11,filesystem,,4143,19ced7ea65905d118a665f63ccc30061546a3b8fed41545bdf8c2cb39a13adee,1.0.0,adjacent-exact,15650,743ea5a619b3539b99c3a6cca8244a9133609e6c55168edde3f5a6e3af5ea25b
mus-238e38a8c29419dd,filesystem,,4655,238e38a8c29419dde9eb3be53e32618e69a3bb51549cff65055fb3dc13bac805,1.0.0,adjacent-exact,15658,18da454fd478ee60e7861cf55908f8b47d9d687939e0608aa88c59c729ebacd4
mus-cba0bb58a68e770d,filesystem,,4655,cba0bb58a68e770dfd93f4a101fd3a57c6c374c933eb97afc58fa8907121df27,1.0.0,adjacent-exact,15652,7ac9d12a5ca29d615112c19c5bd9a89910b3f15e2ac27311d352d18057528fef
