pool,field0_hex,candidate_rank,xml_tag,files_tested,both_nonzero,nonzero_exact,all_file_exact_rate,pearson,score
details,0x03f2,1,baselinesExprBelowStaff,24,24,24,1.0000,0.000000,2.000000
details,0x03f2,2,baselinesExprAboveStaff,24,24,24,1.0000,0.000000,2.000000
details,0x03f2,3,baselinesChords,24,24,24,1.0000,0.000000,2.000000
details,0x03f3,1,baselinesExprBelowStaff,24,24,24,1.0000,0.000000,2.000000
details,0x03f3,2,baselinesExprAboveStaff,24,24,24,1.0000,0.000000,2.000000
details,0x03f3,3,baselinesChords,24,24,24,1.0000,0.000000,2.000000
details,0x03f4,1,baselinesExprBelowStaff,24,24,24,1.0000,0.000000,2.000000
details,0x03f4,2,baselinesExprAboveStaff,24,24,24,1.0000,0.000000,2.000000
details,0x03f4,3,baselinesChords,24,24,24,1.0000,0.000000,2.000000
details,0x03f6,1,baselinesExprBelowStaff,24,24,24,1.0000,0.000000,2.000000
details,0x03f6,2,baselinesExprAboveStaff,24,24,24,1.0000,0.000000,2.000000
details,0x03f6,3,baselinesChords,24,24,24,1.0000,0.000000,2.000000
details,0x03f7,1,baselinesExprBelowStaff,24,24,24,1.0000,0.000000,2.000000
details,0x03f7,2,baselinesExprAboveStaff,24,24,24,1.0000,0.000000,2.000000
details,0x03f7,3,baselinesChords,24,24,24,1.0000,0.000000,2.000000
details,0x03f8,1,baselinesExprBelowStaff,24,24,24,1.0000,0.000000,2.000000
details,0x03f8,2,baselinesExprAboveStaff,24,24,24,1.0000,0.000000,2.000000
details,0x03f8,3,baselinesChords,24,24,24,1.0000,0.000000,2.000000
details,0x0414,1,gfhold,24,24,24,1.0000,1.000000,3.000000
details,0x0414,2,baselinesExprBelowStaff,24,24,21,0.8750,0.000000,1.875000
details,0x0414,3,baselinesExprAboveStaff,24,24,21,0.8750,0.000000,1.875000
details,0x0455,1,activeLyric,24,7,7,0.9583,0.907485,2.215819
details,0x0455,2,baselinesExprBelowStaff,24,7,7,0.2917,0.000000,0.641667
details,0x0455,3,baselinesExprAboveStaff,24,7,7,0.2917,0.000000,0.641667
others,0x0086,1,staffPlayData,30,30,30,1.0000,0.000000,2.000000
others,0x0086,2,playbackRouteName,30,30,30,1.0000,0.000000,2.000000
others,0x0086,3,playbackRoute,30,30,30,1.0000,0.000000,2.000000
others,0x008d,1,layerAtts,30,30,30,1.0000,0.000000,2.000000
others,0x008d,2,instUsed,30,30,28,0.9333,0.000000,1.933333
others,0x008d,3,shapeDef,30,30,4,0.1333,0.000000,0.333333
others,0x0090,1,fontName,30,30,5,0.1667,0.907254,1.323920
others,0x0090,2,staffSystemSpec,30,30,0,0.0000,0.329019,0.329019
others,0x0090,3,instUsed,30,30,0,0.0000,0.329019,0.329019
others,0x0092,1,frameSpec,30,30,30,1.0000,1.000000,3.000000
others,0x0092,2,measSpec,30,30,27,0.9000,0.994795,2.894795
others,0x0092,3,staffSystemSpec,30,30,26,0.8667,0.982726,2.849393
others,0x0095,1,staffPlayData,30,30,30,1.0000,0.000000,2.000000
others,0x0095,2,playbackRouteName,30,30,30,1.0000,0.000000,2.000000
others,0x0095,3,playbackRoute,30,30,30,1.0000,0.000000,2.000000
others,0x0097,1,staffPlayData,30,30,30,1.0000,0.000000,2.000000
others,0x0097,2,playbackRouteName,30,30,30,1.0000,0.000000,2.000000
others,0x0097,3,playbackRoute,30,30,30,1.0000,0.000000,2.000000
others,0x009e,1,hpOptions,30,4,4,1.0000,1.000000,2.200000
others,0x009e,2,staffStyle,30,3,0,0.8667,0.849837,1.716503
others,0x009e,3,metaKeySig,30,3,0,0.8667,0.849837,1.716503
others,0x009f,1,shapeList,30,30,20,0.6667,0.335438,2.002105
others,0x009f,2,shapeData,30,30,20,0.6667,0.335438,2.002105
others,0x009f,3,ssLineStyle,30,30,20,0.6667,-0.005297,1.661370
others,0x00a3,1,layerAtts,30,30,30,1.0000,0.000000,2.000000
others,0x00a3,2,instUsed,30,30,28,0.9333,0.000000,1.933333
others,0x00a3,3,shapeDef,30,30,4,0.1333,0.000000,0.333333
others,0x00a6,1,metaKeySig,30,3,3,1.0000,1.000000,2.150000
others,0x00a6,2,metaChord,30,3,3,1.0000,1.000000,2.150000
others,0x00a6,3,staffStyle,30,3,0,0.9000,1.000000,1.900000
others,0x00a7,1,metaClef,30,30,30,1.0000,1.000000,3.000000
others,0x00a7,2,fontName,30,30,0,0.0000,0.295041,0.295041
others,0x00a7,3,percussionNoteInfo,30,7,0,0.0000,0.216386,0.216386
others,0x00a9,1,metaKeySig,30,3,3,1.0000,1.000000,2.150000
others,0x00a9,2,metaChord,30,3,3,1.0000,1.000000,2.150000
others,0x00a9,3,staffStyle,30,3,0,0.9000,1.000000,1.900000
others,0x00b0,1,measSpec,30,30,30,1.0000,1.000000,3.000000
others,0x00b0,2,staffSystemSpec,30,30,27,0.9000,0.995796,2.895796
others,0x00b0,3,frameSpec,30,30,27,0.9000,0.994795,2.894795
others,0x00b7,1,textBlock,30,30,30,1.0000,1.000000,3.000000
others,0x00b7,2,moviePlayerState,30,29,27,0.9000,0.048599,1.948599
others,0x00b7,3,staffPlayData,30,30,28,0.9333,0.000000,1.933333
others,0x00b9,1,staffPlayData,30,30,30,1.0000,0.000000,2.000000
others,0x00b9,2,playbackRouteName,30,30,30,1.0000,0.000000,2.000000
others,0x00b9,3,playbackRoute,30,30,30,1.0000,0.000000,2.000000
others,0x00ba,1,staffPlayData,30,30,30,1.0000,0.000000,2.000000
others,0x00ba,2,playbackRouteName,30,30,30,1.0000,0.000000,2.000000
others,0x00ba,3,playbackRoute,30,30,30,1.0000,0.000000,2.000000
others,0x00bb,1,staffPlayData,30,30,30,1.0000,0.000000,2.000000
others,0x00bb,2,playbackRouteName,30,30,30,1.0000,0.000000,2.000000
others,0x00bb,3,playbackRoute,30,30,30,1.0000,0.000000,2.000000
others,0x00be,1,staffPlayData,30,30,30,1.0000,0.000000,2.000000
others,0x00be,2,playbackRouteName,30,30,30,1.0000,0.000000,2.000000
others,0x00be,3,playbackRoute,30,30,30,1.0000,0.000000,2.000000
others,0x00d5,1,shapeList,30,30,30,1.0000,1.000000,3.000000
others,0x00d5,2,shapeData,30,30,30,1.0000,1.000000,3.000000
others,0x00d5,3,ssLineStyle,30,30,28,0.9333,0.694808,2.628142
others,0x00d6,1,shapeDef,30,30,30,1.0000,1.000000,3.000000
others,0x00d6,2,shapeList,30,30,26,0.8667,0.729769,2.596436
others,0x00d6,3,shapeData,30,30,26,0.8667,0.729769,2.596436
others,0x00d7,1,shapeList,30,30,30,1.0000,1.000000,3.000000
others,0x00d7,2,shapeData,30,30,30,1.0000,1.000000,3.000000
others,0x00d7,3,ssLineStyle,30,30,28,0.9333,0.694808,2.628142
others,0x00db,1,hpOptions,30,4,4,0.9333,0.784465,1.917798
others,0x00db,2,metaKeySig,30,3,0,0.8000,0.666667,1.466667
others,0x00db,3,metaChord,30,3,0,0.8000,0.666667,1.466667
others,0x00de,1,ssLineStyle,30,30,30,1.0000,1.000000,3.000000
others,0x00de,2,shapeList,30,30,28,0.9333,0.694808,2.628142
others,0x00de,3,shapeData,30,30,28,0.9333,0.694808,2.628142
others,0x00df,1,staffSystemSpec,30,30,30,1.0000,1.000000,3.000000
others,0x00df,2,measSpec,30,30,27,0.9000,0.995796,2.895796
others,0x00df,3,frameSpec,30,30,26,0.8667,0.982726,2.849393
others,0x00e6,1,staffPlayData,30,30,30,1.0000,0.000000,2.000000
others,0x00e6,2,playbackRouteName,30,30,30,1.0000,0.000000,2.000000
others,0x00e6,3,playbackRoute,30,30,30,1.0000,0.000000,2.000000
others,0x00e7,1,staffSpec,30,30,30,1.0000,0.000000,2.000000
others,0x00e7,2,measSpec,30,30,1,0.0333,0.000000,0.083333
others,0x00e7,3,frameSpec,30,30,1,0.0333,0.000000,0.083333
others,0x00e8,1,staffStyle,30,3,3,1.0000,1.000000,2.150000
others,0x00e8,2,metaKeySig,30,3,0,0.9000,1.000000,1.900000
others,0x00e8,3,metaChord,30,3,0,0.9000,1.000000,1.900000
others,0x011a,1,staffPlayData,30,30,30,1.0000,0.000000,2.000000
others,0x011a,2,playbackRouteName,30,30,30,1.0000,0.000000,2.000000
others,0x011a,3,playbackRoute,30,30,30,1.0000,0.000000,2.000000
others,0x0122,1,moviePlayerState,30,29,29,1.0000,1.000000,3.000000
others,0x0122,2,staffPlayData,30,29,29,0.9667,0.000000,1.966667
others,0x0122,3,playbackRouteName,30,29,29,0.9667,0.000000,1.966667
others,0x012d,1,markingsCategoryName,30,23,23,0.7667,0.000000,1.766667
others,0x012d,2,markingsCategory,30,23,23,0.7667,0.000000,1.766667
others,0x012d,3,hpOptions,30,4,0,0.2333,0.216386,0.449719
