format_epoch,version_scope,record_identity,cmper,incidence_scope,tuple_stride,ordinal_rule,font_id_location,size_location,effects_location,capture_rule,semantic_rule,confidence
coda-banner,Finale 1.0.0-2.6 under additive-only hypothesis,02,65534,incidence 0,3 words,targeted tuple,word 0,word 1,word 2,capture tuple 0,Music,confirmed at Finale 1.0.0; strong extension
coda-banner,Finale 1.0.0-2.6 under additive-only hypothesis,03,65534,incidence 0,3 words,targeted tuple,word 3,word 4,word 5,capture tuple 1,Key,confirmed at Finale 1.0.0; strong extension
coda-banner,Finale 1.0.0-2.6 under additive-only hypothesis,04/39,65534,incidence 0,split fields,targeted fields,04 word 0,39 word 4,39 word 5,capture split font fields,Clef,confirmed at Finale 1.0.0; strong extension
coda-banner,Finale 1.0.0-2.6 under additive-only hypothesis,03,65534,incidence 0,3 words,targeted tuple,word 0,word 1,word 2,capture tuple 0,Time,confirmed at Finale 1.0.0; strong extension
coda-banner,Finale 1.0.0-2.6 under additive-only hypothesis,02,65534,incidence 0,3 words,targeted tuple,word 3,word 4,word 5,capture tuple 1,Chord,confirmed at Finale 1.0.0; strong extension
coda-banner,Finale 1.0.0-2.6 under additive-only hypothesis,37,65534,incidence 0,3 words,targeted tuple,word 0,word 1,word 2,capture tuple 0,ChordAcci,confirmed at Finale 1.0.0; strong extension
coda-banner,Finale 1.0.0-2.6 under additive-only hypothesis,05,65534,incidence 0,3 words,targeted tuple,word 0,word 1,word 2,capture tuple 0,Ending,confirmed at Finale 1.0.0; strong extension
coda-banner,Finale 1.0.0-2.6 under additive-only hypothesis,36,65534,incidence 0,3 words,targeted tuple,word 0,word 1,word 2,capture tuple 0,Tuplet,confirmed at Finale 1.0.0; strong extension
coda-banner,Finale 1.0.0-2.6 under additive-only hypothesis,26,65534,incidence 0,3 words,targeted tuple,word 0,word 1,word 2,capture tuple 0,TextBlock,confirmed at Finale 1.0.0; strong extension
coda-banner,Finale 1.0.0-2.6 under additive-only hypothesis,26,65534,incidence 0,3 words,targeted tuple,word 3,word 4,word 5,capture tuple 1,LyricVerse,confirmed at Finale 1.0.0; strong extension
coda-banner,Finale 1.0.0-2.6 under additive-only hypothesis,27,65534,incidence 0,3 words,targeted tuple,word 0,word 1,word 2,capture tuple 0,LyricChorus,confirmed at Finale 1.0.0; strong extension
coda-banner,Finale 1.0.0-2.6 under additive-only hypothesis,27,65534,incidence 0,3 words,targeted tuple,word 3,word 4,word 5,capture tuple 1,LyricSection,confirmed at Finale 1.0.0; strong extension
coda-banner,Finale 1.0.0-2.6 under additive-only hypothesis,04,65534,incidence 0,3 words,targeted tuple,word 3,word 4,word 5,capture historical Name tuple,StaffNames under additive semantic continuation,strong
fixed-row DCL,Finale 2002,24,65534,all incidences,3 words,encounter order across the incidence stream,word 0 of tuple,word 1 of tuple,word 2 of tuple,capture every complete tuple physically present,"0-12 map directly; 13 is a legacy drawing-time tablature holding slot; 14-27 map directly; 28 maps to modern Tablature; 29-39 map directly",strong
fixed-row DCL,Finale 2003-2006,24,65534,all incidences,3 words,encounter order across the incidence stream,word 0 of tuple,word 1 of tuple,word 2 of tuple,capture every complete tuple physically present,"map every in-range tuple directly; ignore an all-zero second tuple in the final fixed row as structural row fill",strong
zlib,Finale 2007-2012,0x0026,65534,incidence 0,6 bytes,encounter order in the payload,byte 0 of tuple,byte 2 of tuple,byte 4 of tuple,capture every complete tuple physically present,"map every in-range tuple directly; physical 45 is the zero-filled second tuple of the final 12-byte pair",strong
