mapping_lineage,option_group,semantic_field,legacy_tag,legacy_global_number,cmper,incident,word_slot,width_bytes,conversion,minimum_finale_version,variant,replaced_index,selector_observed_in_available_etf,candidate_musxdom_target
current_only,ChordPrefs,CFLATLIFT,37,37,65534,0,4,2,NONE,,baseline,,yes,ChordOptions
current_only,ChordPrefs,CNATURALLIFT,37,37,65534,0,5,2,NONE,,baseline,,yes,ChordOptions
current_only,ChordPrefs,CSHARPLIFT,37,37,65534,0,3,2,NONE,,baseline,,yes,ChordOptions
current_only,ChordPrefs,ChordStyle,45,45,65534,0,0,2,NONE,,baseline,,yes,ChordOptions
current_only,ChordPrefs,DefChordAlignment,44,44,65534,0,5,2,NONE,,baseline,,yes,ChordOptions
current_only,ChordPrefs,UseSimpleChordSpelling,45,45,65534,0,1,2,NONE,,baseline,,yes,ChordOptions
current_only,ChordPrefs,chordPercent,41,41,65534,2,4,4,MACFOURBYTE,,baseline,,yes,ChordOptions
current_only,ChordPrefs,chordPlayback,76,76,65534,0,5,2,NONE,,baseline,,yes,ChordOptions
current_only,ChordPrefs,fretInstID,41,41,65534,1,1,2,NONE,,baseline,,yes,ChordOptions
current_only,ChordPrefs,fretPercent,41,41,65534,1,3,4,MACFOURBYTE,,baseline,,yes,ChordOptions
current_only,ChordPrefs,fretStyleID,41,41,65534,1,0,2,NONE,,baseline,,yes,ChordOptions
current_only,ChordPrefs,italicizeCapoChords,41,41,65534,2,0,2,NONE,,baseline,,yes,ChordOptions
current_only,ChordPrefs,multiFretItemsPerStr,41,41,65534,1,5,2,NONE,,baseline,,yes,ChordOptions
current_only,ChordPrefs,showFretboards,41,41,65534,0,2,2,NONE,,baseline,,yes,ChordOptions
current_only,DistancePrefs,acciCrossLayerPositioning,22,22,65534,0,0,2,NONE,,baseline,,yes,multiple geometry-related option classes
original_and_current,DistancePrefs,acciMultCharSpace,21,21,65534,0,5,2,NONE,,baseline,,yes,multiple geometry-related option classes
original_and_current,DistancePrefs,acciMultiSpaces,59,59,65534,0,4,2,NONE,,baseline,,yes,multiple geometry-related option classes
current_26_2_override,DistancePrefs,acciMultiSpaces,OA,,0,0,5,2,NONE,,finale_26_2_compatibility_override,3,no,multiple geometry-related option classes
original_and_current,DistancePrefs,acciNoteSpace,59,59,65534,0,3,2,NONE,,baseline,,yes,multiple geometry-related option classes
current_26_2_override,DistancePrefs,acciNoteSpace,OA,,0,0,4,2,NONE,,finale_26_2_compatibility_override,2,no,multiple geometry-related option classes
original_and_current,DistancePrefs,acciVertSpace,21,21,65534,0,3,2,NONE,,baseline,,yes,multiple geometry-related option classes
original_and_current,DistancePrefs,alterDblWholeDiamondBaseline,22,22,65534,0,3,2,NONE,,baseline,,yes,multiple geometry-related option classes
original_and_current,DistancePrefs,alterHalfDiamondBaseline,22,22,65534,0,1,2,NONE,,baseline,,yes,multiple geometry-related option classes
original_and_current,DistancePrefs,alterWholeDiamondBaseline,22,22,65534,0,2,2,NONE,,baseline,,yes,multiple geometry-related option classes
original_and_current,DistancePrefs,barlineDashSpace,68,68,65534,0,4,4,MACFOURBYTE,,baseline,,yes,multiple geometry-related option classes
original_and_current,DistancePrefs,barlineDblSpace,67,67,65534,0,3,2,NONE,,baseline,,yes,multiple geometry-related option classes
original_and_current,DistancePrefs,barlineFinalSpace,67,67,65534,0,4,2,NONE,,baseline,,yes,multiple geometry-related option classes
original_and_current,DistancePrefs,beamMaxDistance,20,20,65534,0,2,2,NONE,,baseline,,yes,multiple geometry-related option classes
original_and_current,DistancePrefs,beamSecondarySepar,20,20,65534,0,1,2,NONE,,baseline,,yes,multiple geometry-related option classes
original_and_current,DistancePrefs,clefAfter,19,19,65534,0,1,2,NONE,,baseline,,yes,multiple geometry-related option classes
original_and_current,DistancePrefs,clefBefore,19,19,65534,0,0,2,NONE,,baseline,,yes,multiple geometry-related option classes
original_and_current,DistancePrefs,clefDefaultOffset,13,13,65534,0,3,2,NONE,,baseline,,yes,multiple geometry-related option classes
original_and_current,DistancePrefs,clefKeySpace,38,38,65534,0,5,2,NONE,,baseline,,yes,multiple geometry-related option classes
original_and_current,DistancePrefs,clefTimeSpace,39,39,65534,0,4,2,NONE,,baseline,,yes,multiple geometry-related option classes
original_and_current,DistancePrefs,dotFlagAdjust,21,21,65534,0,0,2,NONE,,baseline,,yes,multiple geometry-related option classes
original_and_current,DistancePrefs,dotNoteSpace,68,68,65534,0,0,2,NONE,,baseline,,yes,multiple geometry-related option classes
